[GIN] 2026/03/08 - 16:00:05 | 200 |       1.653ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |    1.788667ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |       1.963ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |    1.958166ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |   13.730417ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |      55.675ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |   56.084125ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |   56.404542ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/03/08 - 16:00:05 | 200 |      10.792µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:05 | 200 | 30.080307167s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:06 | 200 |      13.667µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:06 | 200 |       5.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:06 | 200 |      10.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:06 | 200 |      14.083µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:06 | 200 |       5.541µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:09 | 200 |      36.583µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:11 | 200 |   4.74204775s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:11 | 200 |      10.667µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:11 | 200 |      16.542µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:11 | 200 |       6.417µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:14 | 200 |       34.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:16 | 200 |      16.584µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:16 | 200 |       6.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:17 | 200 |      37.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:20 | 200 |       34.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:21 | 200 |          15µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:21 | 200 |       6.292µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:23 | 200 | 11.492687166s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:27 | 200 |      24.208µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:27 | 200 |      14.375µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:27 | 200 |       5.209µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:30 | 200 |      14.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:32 | 200 |      15.916µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:32 | 200 |       6.292µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:32 | 200 |      5.23373s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:32 | 200 |        8.25µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:32 | 200 |      15.541µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:32 | 200 |       6.083µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:35 | 200 |      24.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:37 | 200 |      17.208µs |       127.0.0.1 | HEAD     "/"
